site,config,seed,norm_MSE,norm_MAE,raw_MSE,best_epoch,n_params
56,LinearCalib,22,0.1093775629997253,0.2130733132362365,0.8906547427177429,27,72191
56,LinearCalib,33,0.1083525121212005,0.2036848068237304,0.8823078870773315,16,72191
56,LinearCalib,44,0.1159227564930915,0.2283382415771484,0.9439516663551332,17,72191
56,LinearCalib,55,0.1165715456008911,0.2180905789136886,0.9492350220680236,24,72191
73,FC,42,0.1145674064755439,0.2257909029722213,0.8879759311676025,20,72232
73,FC,123,0.1177404075860977,0.2236316800117492,0.912568747997284,15,72232
73,FC,456,0.1130619198083877,0.2222780883312225,0.8763074278831482,15,72232
73,FC,789,0.109244205057621,0.20705246925354,0.8467175960540771,21,72232
73,FC,2026,0.1145791113376617,0.2150285840034485,0.8880668878555298,37,72232
73,FC,11,0.1086216792464256,0.2101423889398574,0.8418924808502197,26,72232
73,FC,22,0.1155626401305198,0.2208045721054077,0.8956897258758545,26,72232
73,FC,33,0.1443897485733032,0.2473579049110412,1.119119644165039,43,72232
73,FC,44,0.1167721301317215,0.218238815665245,0.9050641655921936,24,72232
73,FC,55,0.1627910435199737,0.2656019628047943,1.261742353439331,36,72232
73,KANConv_M5,42,0.1060927882790565,0.2023509293794632,0.8222917318344116,30,72227
73,KANConv_M5,123,0.1041499674320221,0.1959398239850998,0.8072338700294495,18,72227
73,KANConv_M5,456,0.1061029508709907,0.2048685997724533,0.8223705887794495,21,72227
73,KANConv_M5,789,0.1198251619935035,0.2258272022008896,0.9287272095680236,21,72227
73,KANConv_M5,2026,0.1049968004226684,0.1985720843076706,0.8137971758842468,25,72227
73,KANConv_M5,11,0.1040233820676803,0.198857381939888,0.8062524795532227,22,72227
73,KANConv_M5,22,0.1001321598887443,0.1952979117631912,0.7760930061340332,29,72227
73,KANConv_M5,33,0.1156460493803024,0.22475166618824,0.8963361382484436,24,72227
73,KANConv_M5,44,0.1110153645277023,0.2059231251478195,0.8604452013969421,21,72227
73,KANConv_M5,55,0.1109725534915924,0.2103623449802398,0.8601133227348328,31,72227
73,Shared,42,0.1169258281588554,0.2221848368644714,0.9062553644180298,34,72190
73,Shared,123,0.1117208302021026,0.2174627035856247,0.8659130930900574,30,72190
73,Shared,456,0.1078083217144012,0.203209564089775,0.8355884552001953,24,72190
73,Shared,789,0.1060307249426841,0.2063995152711868,0.8218109011650085,17,72190
73,Shared,2026,0.1298180222511291,0.2423187494277954,1.006178855895996,22,72190
73,Shared,11,0.1069555059075355,0.2030155509710312,0.8289785385131836,24,72190
73,Shared,22,0.1155777350068092,0.21408511698246,0.895806610584259,25,72190
73,Shared,33,0.1153020113706588,0.2179701775312423,0.8936697840690613,25,72190
73,Shared,44,0.1101751327514648,0.2038389295339584,0.8539328575134277,27,72190
73,Shared,55,0.1219691708683967,0.2306656390428543,0.9453446865081788,19,72190
73,Kernel,42,0.1550309956073761,0.2535067200660705,1.2015968561172483,31,77266
73,Kernel,123,0.110018290579319,0.2053631544113159,0.8527172803878784,21,77266
73,Kernel,456,0.1677320450544357,0.277426153421402,1.3000383377075195,18,77266
73,Kernel,789,0.1181944161653518,0.2225649654865265,0.9160877466201782,20,77266
73,Kernel,2026,0.127641275525093,0.2285190671682357,0.9893073439598083,28,77266
73,Kernel,11,0.1082619279623031,0.2045492380857467,0.8391042351722717,15,77266
73,Kernel,22,0.126456931233406,0.2365208566188812,0.980128049850464,17,77266
73,Kernel,33,0.1217006668448448,0.2426345199346542,0.9432635307312012,7,77266
73,Kernel,44,0.1164115294814109,0.2217937707901001,0.902269184589386,17,77266
73,Kernel,55,0.1220992058515548,0.2245662063360214,0.9463525414466858,31,77266
73,Frozen,42,0.1130304634571075,0.2130352407693863,0.8760637044906616,34,72184
73,Frozen,123,0.1068994626402854,0.2066022008657455,0.8285440802574158,18,72184
73,Frozen,456,0.1073335409164428,0.2040275335311889,0.8319085836410522,21,72184
73,Frozen,789,0.1274890452623367,0.2348441034555435,0.9881274700164796,25,72184
73,Frozen,2026,0.1123880594968795,0.2134903967380523,0.8710845708847046,26,72184
73,Frozen,11,0.1169516816735267,0.2150525599718094,0.9064558148384094,40,72184
73,Frozen,22,0.1136984154582023,0.2164638936519622,0.8812406063079834,32,72184
73,Frozen,33,0.1171790733933448,0.2277099639177322,0.9082180857658386,24,72184
73,Frozen,44,0.1169691607356071,0.2204895913600921,0.906591296195984,16,72184
73,Frozen,55,0.1150361075997352,0.2207950949668884,0.891608715057373,19,72184
73,LinearCalib,42,0.1264360845088958,0.2427088320255279,0.979966402053833,14,72191
73,LinearCalib,123,0.118072897195816,0.2182152569293975,0.9151459336280824,35,72191
73,LinearCalib,456,0.1196205541491508,0.2304493486881256,0.92714124917984,18,72191
73,LinearCalib,789,0.110848918557167,0.2104435712099075,0.8591551184654236,21,72191
73,LinearCalib,2026,0.1353026032447815,0.2414546757936477,1.0486881732940674,25,72191
73,LinearCalib,11,0.1614211350679397,0.268022745847702,1.251124382019043,34,72191
73,LinearCalib,22,0.1174717843532562,0.22126205265522,0.9104868769645692,30,72191
73,LinearCalib,33,0.1090224161744117,0.2000107318162918,0.8449984788894653,32,72191
73,LinearCalib,44,0.1227680742740631,0.2282809764146804,0.9515367150306702,27,72191
73,LinearCalib,55,0.1109737828373909,0.2113000601530075,0.8601230382919312,14,72191
11,FC,42,0.2265805751085281,0.3578013777732849,5101.5556640625,39,72088
11,FC,123,0.2251482158899307,0.3673471808433532,5069.3056640625,51,72088
11,FC,456,0.206586942076683,0.3660315275192261,4651.390625,17,72088
11,FC,789,0.2169905453920364,0.3661998212337494,4885.63232421875,27,72088
11,FC,2026,0.2279997169971466,0.3588705956935882,5133.50830078125,52,72088
11,FC,11,0.2332606762647628,0.3637568354606628,5251.9609375,48,72088
11,FC,22,0.2038560360670089,0.3534744083881378,4589.9033203125,24,72088
11,FC,33,0.2121569514274597,0.3607133030891418,4776.80224609375,64,72088
11,FC,44,0.2236123383045196,0.3651627898216247,5034.724609375,35,72088
11,FC,55,0.2219152003526687,0.3860557675361633,4996.51318359375,10,72088
11,KANConv_M5,42,0.2119420319795608,0.3675806820392608,4771.962890625,39,72077
11,KANConv_M5,123,0.1875820904970169,0.3286783695220947,4223.4892578125,34,72077
11,KANConv_M5,456,0.1850721687078476,0.3274094760417938,4166.9765625,47,72077
11,KANConv_M5,789,0.1960571408271789,0.3395379185676574,4414.30712890625,34,72077
11,KANConv_M5,2026,0.1961945295333862,0.3492322862148285,4417.40087890625,32,72077
11,KANConv_M5,11,0.1383938491344452,0.2840078771114349,3115.9951171875,33,72077
11,KANConv_M5,22,0.2011058777570724,0.3493805825710296,4527.982421875,25,72077
11,KANConv_M5,33,0.1958017498254776,0.341173380613327,4408.5576171875,27,72077
11,KANConv_M5,44,0.1866879761219024,0.3440338373184204,4203.35693359375,29,72077
11,KANConv_M5,55,0.1891184598207473,0.3389603793621063,4258.08056640625,24,72077
11,Shared,42,0.2485415786504745,0.3954291045665741,5596.0166015625,7,72046
11,Shared,123,0.2072131782770156,0.3526195287704468,4665.4912109375,42,72046
11,Shared,456,0.2392041832208633,0.4073895812034607,5385.78125,17,72046
11,Shared,789,0.2078124433755874,0.3490498960018158,4678.982421875,41,72046
11,Shared,2026,0.2169813215732574,0.3711546063423157,4885.4248046875,31,72046
11,Shared,11,0.2003789544105529,0.3362683951854706,4511.615234375,41,72046
11,Shared,22,0.2096258848905563,0.3698956668376922,4719.8134765625,16,72046
11,Shared,33,0.1990748792886734,0.3530767261981964,4482.25341796875,10,72046
11,Shared,44,0.2271410226821899,0.3714785873889923,5114.17431640625,40,72046
11,Shared,55,0.2076300680637359,0.3426845371723175,4674.876953125,32,72046
11,Kernel,42,0.2698487043380737,0.4125387072563171,6075.75537109375,14,76396
11,Kernel,123,0.2689430117607116,0.4036599397659302,6055.3642578125,21,76396
11,Kernel,456,0.2271157354116439,0.374170184135437,5113.60498046875,13,76396
11,Kernel,789,0.2282052338123321,0.3793172836303711,5138.13525390625,12,76396
11,Kernel,2026,0.2375277280807495,0.3763668239116668,5348.03515625,25,76396
11,Kernel,11,0.2109021097421646,0.3529637157917022,4748.548828125,18,76396
11,Kernel,22,0.2263562679290771,0.369566798210144,5096.5048828125,31,76396
11,Kernel,33,0.2526106238365173,0.3887759447097778,5687.63330078125,31,76396
11,Kernel,44,0.2437094002962112,0.3929246664047241,5487.2177734375,17,76396
11,Kernel,55,0.2578404247760772,0.3961623013019562,5805.38525390625,24,76396
11,Frozen,42,0.2197274714708328,0.3705821335315704,4947.25537109375,34,72040
11,Frozen,123,0.2122037410736084,0.3503464162349701,4777.85546875,31,72040
11,Frozen,456,0.2109842300415039,0.3541362583637237,4750.3974609375,38,72040
11,Frozen,789,0.2333434969186782,0.3761554658412933,5253.8251953125,43,72040
11,Frozen,2026,0.2322859168052673,0.3764998614788055,5230.01416015625,57,72040
11,Frozen,11,0.1949772387742996,0.3391121327877044,4389.9931640625,34,72040
11,Frozen,22,0.2406934797763824,0.3689196109771728,5419.31396484375,54,72040
11,Frozen,33,0.2458794862031936,0.3810329437255859,5536.0791015625,63,72040
11,Frozen,44,0.2155616134405136,0.3865196108818054,4853.45947265625,10,72040
11,Frozen,55,0.1935524642467498,0.3387447893619537,4357.9140625,27,72040
11,LinearCalib,42,0.2027423083782196,0.3577574789524078,4564.82763671875,21,72046
11,LinearCalib,123,0.212256908416748,0.3602453470230102,4779.05224609375,45,72046
11,LinearCalib,456,0.2162714004516601,0.3613510131835937,4869.44091796875,41,72046
11,LinearCalib,789,0.2001929432153701,0.3403816819190979,4507.42724609375,43,72046
11,LinearCalib,2026,0.1922165900468826,0.3373957574367523,4327.83642578125,29,72046
11,LinearCalib,11,0.2345197945833206,0.3737750649452209,5280.310546875,60,72046
11,LinearCalib,22,0.2308250218629837,0.3709883689880371,5197.1220703125,44,72046
11,LinearCalib,33,0.2017986476421356,0.3503871262073517,4543.58056640625,38,72046
11,LinearCalib,44,0.2260306924581527,0.3676972091197967,5089.17578125,45,72046
11,LinearCalib,55,0.2554842531681061,0.4154785573482513,5752.333984375,9,72046
67,FC,42,0.1316459327936172,0.249565988779068,0.6854760050773621,23,72232
67,FC,123,0.1333633214235305,0.2673698961734772,0.6944184303283691,16,72232
67,FC,456,0.1188385635614395,0.2379381358623504,0.618788480758667,29,72232
67,FC,789,0.1432362198829651,0.2690736949443817,0.7458263635635376,27,72232
67,FC,2026,0.1386649012565612,0.2626236975193023,0.7220235466957092,31,72232
67,FC,11,0.1147072166204452,0.244900181889534,0.5972767472267151,14,72232
67,FC,22,0.1219475716352462,0.2443756312131881,0.6349770426750183,20,72232
67,FC,33,0.1193354204297065,0.2361322045326233,0.6213756799697876,24,72232
67,FC,44,0.1280152350664138,0.251510739326477,0.6665712594985962,39,72232
67,FC,55,0.1380340605974197,0.25017249584198,0.718738853931427,29,72232
67,KANConv_M5,42,0.1256881803274154,0.2451892644166946,0.654454231262207,28,72227
67,KANConv_M5,123,0.1169131621718406,0.2304059118032455,0.6087629795074463,25,72227
67,KANConv_M5,456,0.1220329329371452,0.2425343543291092,0.6354214549064636,18,72227
67,KANConv_M5,789,0.1249400824308395,0.2502060234546661,0.6505589485168457,29,72227
67,KANConv_M5,2026,0.1312189847230911,0.2619468569755554,0.6832529902458191,22,72227
67,KANConv_M5,11,0.1160284504294395,0.2373558133840561,0.6041563749313354,24,72227
67,KANConv_M5,22,0.1187252029776573,0.2393075674772262,0.6181982159614563,17,72227
67,KANConv_M5,33,0.1259153336286544,0.2551005482673645,0.6556369066238403,22,72227
67,KANConv_M5,44,0.1280031204223632,0.244387537240982,0.666508138179779,22,72227
67,KANConv_M5,55,0.1130588948726654,0.2314941138029098,0.5886939764022827,17,72227
67,Shared,42,0.1334196180105209,0.2634543180465698,0.6947116851806641,30,72190
67,Shared,123,0.1194681301712989,0.2389634996652603,0.6220666170120239,25,72190
67,Shared,456,0.1237969920039177,0.2414653748273849,0.6446068286895752,29,72190
67,Shared,789,0.1264013797044754,0.2345675677061081,0.658167839050293,36,72190
67,Shared,2026,0.1224831789731979,0.2485045045614242,0.6377659440040588,18,72190
67,Shared,11,0.1154764294624328,0.2295941263437271,0.6012819409370422,21,72190
67,Shared,22,0.1421362161636352,0.2629137933254242,0.7400986552238464,36,72190
67,Shared,33,0.1137487441301345,0.2360831797122955,0.5922859311103821,30,72190
67,Shared,44,0.1180408000946044,0.2341388314962387,0.6146345138549805,18,72190
67,Shared,55,0.1343756914138794,0.2521509826183319,0.6996898055076599,7,72190
67,Kernel,42,0.1404854506254196,0.2560829818248749,0.7315031290054321,20,77266
67,Kernel,123,0.1315240710973739,0.2546342611312866,0.684841513633728,27,77266
67,Kernel,456,0.162883386015892,0.288973331451416,0.8481284976005554,24,77266
67,Kernel,789,0.1577423065900802,0.2785243093967438,0.8213590979576111,31,77266
67,Kernel,2026,0.147102802991867,0.2706013023853302,0.7659595012664795,24,77266
67,Kernel,11,0.1397078037261963,0.275343120098114,0.727453887462616,23,77266
67,Kernel,22,0.1256092190742492,0.2506101727485657,0.6540431380271912,25,77266
67,Kernel,33,0.1377316862344741,0.2659579217433929,0.7171643972396851,20,77266
67,Kernel,44,0.1383319199085235,0.2625789940357208,0.7202897667884827,19,77266
67,Kernel,55,0.1437349617481231,0.2652674913406372,0.748423159122467,23,77266
67,Frozen,42,0.1195625513792038,0.2472072541713714,0.6225583553314209,10,72184
67,Frozen,123,0.1441918909549713,0.2619472146034241,0.7508024573326111,25,72184
67,Frozen,456,0.1168166100978851,0.2397530674934387,0.6082602143287659,25,72184
67,Frozen,789,0.1263679414987564,0.250291645526886,0.6579936742782593,23,72184
67,Frozen,2026,0.1391467154026031,0.267502874135971,0.7245322465896606,26,72184
67,Frozen,11,0.1185756623744964,0.2408157438039779,0.6174196600914001,27,72184
67,Frozen,22,0.1227456778287887,0.241216242313385,0.6391327977180481,17,72184
67,Frozen,33,0.1327166259288787,0.2609578967094421,0.6910510063171387,20,72184
