timestamp,Active_Power,GHI,DHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,has_wind,delta_t
2016-01-01 11:45:00,0.0006666666692277333,693.40802001953,581.7139485677067,22.065594991048,67.69964090983068,5.651784049441034,-0.20362784522199492,-0.9790483648166965,1,15.0
2016-01-01 12:00:00,0.0012000000666982,828.94783528646,638.74405924479,22.996281941731997,65.542625427246,4.724564446615833,-0.39336622276233074,-0.9193818655975853,1,15.0
2016-01-01 12:15:00,0.0015333333285525667,757.8671468098968,577.7836303710933,23.431188583374,64.21979268391934,4.399189053225233,-0.2570393525646412,-0.9664009371027897,1,15.0
2016-01-01 12:30:00,0.002555555431172267,860.8139444987,609.7180379231767,23.577678680419996,63.02853139241534,5.0805005345306,-0.2195206966548052,-0.975607843213752,1,15.0
2016-01-01 12:45:00,0.0051555554382503,990.6167195638133,367.37542724608994,23.994904836019003,61.950187683105334,5.0325186687978,-0.18042613795180382,-0.9835885363015353,1,15.0
2016-01-01 13:00:00,0.0027333331915239665,937.8680216471366,510.28006998698,24.505027770995998,60.880583445231,4.477235437531167,-0.1195633452026174,-0.9928265742232929,1,15.0
2016-01-01 13:15:00,0.004733333364129067,1023.77954101564,423.7351888020833,24.725831349691003,58.876057942708336,5.375702531443267,-0.10588699446419225,-0.9943781697137866,1,15.0
2016-01-01 13:30:00,0.003777777620901633,912.3252970377433,472.89435831706004,24.938688913981,58.042423248291335,5.122512041053767,-0.05991735052472332,-0.9982033415622777,1,15.0
2016-01-01 13:45:00,0.0025555555572888333,793.6786905924533,521.39385986328,25.107987085978,56.773691813151004,5.221307657685601,-0.19666744930417737,-0.9804702516569225,1,15.0
2016-01-01 14:00:00,0.0010222221802299,618.3223470052067,489.6426696777333,24.770072301229003,58.06745402018233,4.838359959393833,-0.07796314110809872,-0.9969562420831511,1,15.0
2016-01-01 14:15:00,0.0017999999302749667,756.96708170573,495.20502726237004,25.12770843505867,57.07262802124033,4.630178694193533,-0.012710037930397364,-0.9999192242055395,1,15.0
2016-01-01 14:30:00,0.004177777921237633,853.37247721354,378.5960489908833,25.389318466186666,55.2849706014,5.649147314453134,0.0020050926411465148,-0.9999979897997298,1,15.0
2016-01-01 14:45:00,0.007266666740179034,1007.68625895183,266.3360799153633,25.714017232259,54.28827794392934,5.911462532680534,-0.004701527267498339,-0.9999889477596005,1,15.0
2016-01-01 15:00:00,0.007822222386797266,1018.1285196940099,252.19907633463666,26.03609275817867,53.389912923177,5.849469943786599,0.056724871326814606,-0.9983898481920559,1,15.0
2016-01-01 15:15:00,0.0031333334045484666,778.37674967448,446.7878519694,25.999193191528335,53.41172154744467,5.9857845508919,0.07132205359054135,-0.9974533395962079,1,15.0
2016-01-01 15:30:00,0.002733333385549467,664.72243245443,349.75102742512996,25.963189442952668,53.422904968262,5.2644008789978,-0.00670490166617067,-0.9999775218941909,1,15.0
2016-01-01 15:45:00,0.00026666666478066664,631.9770304362,209.36227416991997,26.250316619873,51.509963989258004,4.9818977721926005,-0.08030892974832828,-0.9967700215208511,1,15.0
2016-01-01 16:00:00,0.0003999999898951,696.5707600911468,110.41181437174468,26.537652969360334,50.35490926106767,5.4796614155973,-0.0029216611033024815,-0.9999957319390905,1,15.0
2016-01-01 16:15:00,0.0001555555597102,647.1549072265633,97.864583333336,26.717101414998336,48.633661905924335,5.975269046896632,0.0206374118412372,-0.9997870259372719,1,15.0
2016-01-01 18:15:00,0.0,170.47794087728002,76.91913604736334,24.293114980062,56.42575073242167,4.9506999697335665,0.26387892388529893,-0.9645558115159208,1,120.0
2016-01-01 20:15:00,2.2222222469266663e-05,0.0,0.8209576209386032,20.912963867187667,71.210261027018,3.8727724186681,0.26246085091924126,-0.9649426416812286,1,120.0
2016-01-01 22:15:00,0.0002444444398861,0.0,0.8461274305979366,19.823629379272333,79.45298767089834,4.105162725757601,0.09737794715911939,-0.9952474744540052,1,120.0
2016-01-02 00:15:00,0.00011111111234636665,0.0,0.53839764992396,18.422543843587334,87.074317932129,4.5299537128849,0.28845118959119137,-0.9574946011458376,1,120.0
2016-01-02 02:15:00,4.444444493853332e-05,0.0,0.76209710041682,18.083656946818,87.15495300292967,2.723347317084633,0.0414384584403441,-0.9991410581905279,1,120.0
