,Active_Power,GHI,DHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,has_wind,delta_t
2016-11-26 18:30:00,0.07155555238326367,28.54939270019533,27.826877593994,29.094123840332003,14.617462476094667,2.1866457462311,-0.9410635323271227,0.33822984511127724,0,15.0
2016-11-26 18:45:00,0.037711101894577666,17.422756830851334,16.65146478017167,28.64965947469067,14.918747901916333,2.1866457462311,-0.8496008680399856,0.5274261702131428,0,15.0
2016-11-26 19:00:00,0.004533333277019501,8.376271565755166,8.098374366760266,28.258809407551997,15.024261792500667,2.1866457462311,-0.9748746510565249,-0.2227541575985031,0,15.0
2016-11-26 19:15:00,0.0,0.0,3.6962287425995,27.627195358276335,16.137666384379333,2.1866457462311,-0.9992419154992056,-0.03893063458869432,0,15.0
2016-11-26 19:30:00,0.0,0.0,2.115745862325033,27.088174819946335,17.05218442281067,2.1866457462311,-0.9731709770651233,-0.23008313584031553,0,15.0
2016-11-26 19:45:00,0.0,0.0,1.6424605051676335,26.669350941976003,17.681153615315665,2.1866457462311,-0.9685102487516295,0.2489736894996273,0,15.0
2016-11-26 21:45:00,0.0,0.0,2.2861897945404,20.25266456604,29.008316040039333,2.1866457462311,-0.09242491334515207,-0.9957196570285941,0,120.0
2016-11-26 23:45:00,0.0,0.0,0.9962370395660368,18.058401743571,32.37957318623833,2.1866457462311,-0.7308107681987716,-0.6825801206339966,0,120.0
2016-11-27 01:45:00,0.0,0.0,1.5829099416733001,15.675290425618664,39.126258850098,2.1866457462311,-0.3049243261637209,0.9523765827200923,0,120.0
2016-11-27 03:45:00,0.0,0.0,1.2980246941248332,13.894460360209331,46.00853093465167,2.1866457462311,-0.2569080924441942,0.966435839586201,0,120.0
2016-11-27 05:15:00,0.0,0.0,1.3818720579147332,12.902890841166,51.151704152425,2.1866457462311,-0.28309731965457696,0.95909118836761,0,90.0
2016-11-27 05:30:00,0.0,0.0,3.8336409727732335,12.538314183553,51.541362762451335,2.1866457462311,-0.5583474439943001,0.8296072153646157,0,15.0
2016-11-27 05:45:00,0.014111109077930667,10.4687482515969,9.163391590118534,12.348544120788667,52.394124348958336,2.1866457462311,-0.2626531522334509,0.9648903158503725,0,15.0
2016-11-27 06:00:00,0.060311103860537,28.661019643148,15.479381879170667,12.789529800415002,50.792135874429995,2.1866457462311,-0.26558014959151194,0.9640887843673683,0,15.0
2016-11-27 06:15:00,0.17064445217450333,39.80732599894233,33.818110148111664,14.066657384236668,48.834744771321674,2.1866457462311,-0.6151550261486172,0.7884061731138933,0,15.0
