site,scale,config,seed,ep,val_mse,test_mse
212,0.25,default,44,64,0.059955891221761703,0.08273293077945709
212,0.25,default,55,64,0.07322228699922562,0.08945988863706589
212,0.25,cand_mid,42,64,0.0671866312623024,0.09599576145410538
212,0.25,cand_mid,123,64,0.05678383633494377,0.08892468363046646
212,0.25,cand_mid,456,64,0.07984671741724014,0.09272454679012299
212,0.25,cand_mid,789,64,0.057074204087257385,0.07598699629306793
212,0.25,cand_mid,2026,64,0.07675601541996002,0.09994924068450928
212,0.25,cand_mid,11,64,0.08548969775438309,0.10471458733081818
212,0.25,cand_mid,22,64,0.059691768139600754,0.08728518337011337
212,0.25,cand_mid,33,64,0.0690140649676323,0.08985603600740433
212,0.25,cand_mid,44,64,0.06507059186697006,0.09291952848434448
212,0.25,cand_mid,55,64,0.07073409110307693,0.09185878187417984
212,0.25,cand_big,42,64,0.06456368416547775,0.07681186497211456
212,0.25,cand_big,123,64,0.06892946362495422,0.08090368658304214
212,0.25,cand_big,456,64,0.06576444953680038,0.07681620121002197
212,0.25,cand_big,789,64,0.06111839413642883,0.07481095939874649
212,0.25,cand_big,2026,64,0.06219790503382683,0.07792887836694717
212,0.25,cand_big,11,64,0.06349943578243256,0.08771145343780518
212,0.25,cand_big,22,64,0.059934351593256,0.07367444783449173
212,0.25,cand_big,33,64,0.06521453708410263,0.08766806870698929
212,0.25,cand_big,44,64,0.06658188253641129,0.07531378418207169
212,0.25,cand_big,55,64,0.06496742367744446,0.0791250541806221
212,0.25,cand_wide,42,64,0.06123260036110878,0.08631680905818939
212,0.25,cand_wide,123,64,0.058388154953718185,0.07839891314506531
212,0.25,cand_wide,456,64,0.06333219259977341,0.08470167964696884
212,0.25,cand_wide,789,64,0.05610118433833122,0.08032527565956116
212,0.25,cand_wide,2026,64,0.061085186898708344,0.0835440531373024
212,0.25,cand_wide,11,64,0.06353381276130676,0.08967701345682144
212,0.25,cand_wide,22,64,0.06154005974531174,0.08352218568325043
212,0.25,cand_wide,33,64,0.054123394191265106,0.0780743733048439
212,0.25,cand_wide,44,64,0.057821884751319885,0.08188460767269135
212,0.25,cand_wide,55,64,0.05761687830090523,0.07938514649868011
212,0.5,default,42,36,0.07128100842237473,0.1147591844201088
212,0.5,default,123,36,0.07565926760435104,0.12217526137828827
212,0.5,default,456,36,0.07586202025413513,0.11477137356996536
212,0.5,default,789,36,0.07079599052667618,0.11419061571359634
212,0.5,default,2026,36,0.0902431309223175,0.14517104625701904
212,0.5,default,11,36,0.0666111633181572,0.11169377714395523
212,0.5,default,22,36,0.06393307447433472,0.10375652462244034
212,0.5,default,33,36,0.06933388859033585,0.11539136618375778
212,0.5,default,44,36,0.07947121560573578,0.12111980468034744
212,0.5,default,55,36,0.06881638616323471,0.10084327310323715
212,0.5,cand_mid,42,36,0.07399489730596542,0.10593109577894211
212,0.5,cand_mid,123,36,0.07434391975402832,0.11936523020267487
212,0.5,cand_mid,456,36,0.07452785968780518,0.11564182490110397
212,0.5,cand_mid,789,36,0.07203853130340576,0.10739655047655106
212,0.5,cand_mid,2026,36,0.08615639060735703,0.12274959683418274
212,0.5,cand_mid,11,36,0.07169683277606964,0.10801030695438385
212,0.5,cand_mid,22,36,0.06101805716753006,0.10228442400693893
212,0.5,cand_mid,33,36,0.07310868054628372,0.10813290625810623
212,0.5,cand_mid,44,36,0.08131488412618637,0.11406130343675613
212,0.5,cand_mid,55,36,0.06962531805038452,0.10553193837404251
212,0.5,cand_big,42,36,0.07850109040737152,0.09923578053712845
212,0.5,cand_big,123,36,0.06686096638441086,0.11203038692474365
212,0.5,cand_big,456,36,0.07155092805624008,0.10580550879240036
212,0.5,cand_big,789,36,0.06788604706525803,0.10970472544431686
212,0.5,cand_big,2026,36,0.07972057908773422,0.11342032998800278
212,0.5,cand_big,11,36,0.071351557970047,0.09981485456228256
212,0.5,cand_big,22,36,0.07516278326511383,0.11248835921287537
212,0.5,cand_big,33,36,0.07580099254846573,0.10737138986587524
212,0.5,cand_big,44,36,0.07334552705287933,0.10561002045869827
212,0.5,cand_big,55,36,0.06999512761831284,0.10621798038482666
