site,config,seed,norm_MSE,norm_MAE,raw_MSE
11,FC_NoLSTM,123,0.28108582,0.43358704,6328.764
11,FC_NoLSTM,456,0.25705087,0.40536258,5787.6064
11,FC_NoLSTM,789,0.27723762,0.42805293,6242.12
11,FC_NoLSTM,2026,0.26758942,0.42476094,6024.887
11,FC_NoLSTM,11,0.26875848,0.4241739,6051.2085
11,FC_NoLSTM,22,0.2612957,0.41308674,5883.182
11,FC_NoLSTM,33,0.26314944,0.4136579,5924.9185
11,FC_NoLSTM,44,0.26592538,0.4194234,5987.4204
11,FC_NoLSTM,55,0.2494257,0.40485743,5615.9233
11,M5_NoLSTM,42,0.27116883,0.4177246,6105.479
11,M5_NoLSTM,123,0.27919945,0.4274261,6286.2925
11,M5_NoLSTM,456,0.24178739,0.3976853,5443.9443
11,M5_NoLSTM,789,0.244046,0.39824232,5494.798
11,M5_NoLSTM,2026,0.23415193,0.39667606,5272.0273
11,M5_NoLSTM,11,0.25208238,0.3987838,5675.7397
11,M5_NoLSTM,22,0.2726331,0.42410758,6138.4473
11,M5_NoLSTM,33,0.25843838,0.4162532,5818.8467
11,M5_NoLSTM,44,0.2708047,0.42385197,6097.281
11,M5_NoLSTM,55,0.27452165,0.42324555,6180.9688
67,FC_NoLSTM,42,0.13428164,0.26429757,0.69920015
67,FC_NoLSTM,123,0.13640769,0.2815846,0.7102704
67,FC_NoLSTM,456,0.16518418,0.31162193,0.8601086
67,FC_NoLSTM,789,0.15799049,0.30055016,0.82265127
67,FC_NoLSTM,2026,0.15575644,0.2950356,0.81101865
67,FC_NoLSTM,11,0.13945073,0.2782971,0.72611535
67,FC_NoLSTM,22,0.13872166,0.28389755,0.7223191
67,FC_NoLSTM,33,0.18448375,0.32444528,0.9606009
67,FC_NoLSTM,44,0.14584175,0.29075482,0.7593932
67,FC_NoLSTM,55,0.15335542,0.30156395,0.7985165
67,M5_NoLSTM,42,0.1455593,0.28369838,0.7579225
67,M5_NoLSTM,123,0.13605864,0.2751957,0.7084529
67,M5_NoLSTM,456,0.12974131,0.26680884,0.6755588
67,M5_NoLSTM,789,0.13615575,0.28057933,0.7089586
67,M5_NoLSTM,2026,0.119660765,0.26364002,0.62306964
67,M5_NoLSTM,11,0.13293763,0.27885377,0.6922019
67,M5_NoLSTM,22,0.12700361,0.2597347,0.66130364
67,M5_NoLSTM,33,0.14879109,0.289076,0.7747503
67,M5_NoLSTM,44,0.15597391,0.2975057,0.812151
67,M5_NoLSTM,55,0.12579754,0.26667804,0.6550236
79,FC_NoLSTM,42,0.15951568,0.32129443,1.4172709
79,FC_NoLSTM,123,0.2089324,0.35714644,1.8563302
79,FC_NoLSTM,456,0.15800571,0.31087875,1.4038551
79,FC_NoLSTM,789,0.21758436,0.35898438,1.9332018
79,FC_NoLSTM,2026,0.17323437,0.32373825,1.539159
79,FC_NoLSTM,11,0.15389104,0.308723,1.3672968
79,FC_NoLSTM,22,0.18599683,0.32618764,1.6525514
79,FC_NoLSTM,33,0.15562241,0.31306523,1.3826797
79,FC_NoLSTM,44,0.17118765,0.32562876,1.5209744
79,FC_NoLSTM,55,0.1797941,0.3326832,1.5974413
79,M5_NoLSTM,42,0.19330463,0.37781438,1.7174803
79,M5_NoLSTM,123,0.17181306,0.31560212,1.5265307
